expenditure_date,payee_name,payee_clean,address,payee_type,amount,committee_name,expense_category,expense_purpose,expense_toward,expense_method,vendor,fundtype,comments,x
2021-10-27,Bilty,Bilty,5006 601 W. 26th St  New York  New York 10001,Business/Group/Organization,35.0000,Novotny  Reid J. Elect,Media,Online Advertising,,Debit Card,,Electoral,,
2021-11-29,Bilty,Bilty,5006 601 W. 26th St  New York  New York 10001,Business/Group/Organization,35.0000,Novotny  Reid J. Elect,Media,Online Advertising,,Debit Card,,Electoral,,
2021-12-27,Bilty,Bilty,5006 601 W. 26th St  New York  New York 10001,Business/Group/Organization,35.0000,Novotny  Reid J. Elect,Media,Online Advertising,,Debit Card,,Electoral,,
2021-09-01,Buffer Publish,Buffer Publish,2443 Fillmore Street #380-7163  San Francisco  California 94115,Business/Group/Organization,15.0000,Novotny  Reid J. Elect,Media,Book/Brochure Advertising,,Debit Card,,Electoral,,
2021-10-01,Buffer Publish,Buffer Publish,2443 Fillmore Street #380-7163  San Francisco  California 94115,Business/Group/Organization,15.0000,Novotny  Reid J. Elect,Media,Book/Brochure Advertising,,Debit Card,,Electoral,,
2021-11-01,Buffer Publish,Buffer Publish,2443 Fillmore Street #380-7163  San Francisco  California 94115,Business/Group/Organization,15.0000,Novotny  Reid J. Elect,Media,Book/Brochure Advertising,,Debit Card,,Electoral,,
2021-12-01,Buffer Publish,Buffer Publish,2443 Fillmore Street #380-7163  San Francisco  California 94115,Business/Group/Organization,15.0000,Novotny  Reid J. Elect,Media,Book/Brochure Advertising,,Debit Card,,Electoral,,
2021-12-31,Buffer Publish,Buffer Publish,2443 Fillmore Street #380-7163  San Francisco  California 94115,Business/Group/Organization,15.0000,Novotny  Reid J. Elect,Media,Book/Brochure Advertising,,Debit Card,,Electoral,,
2021-10-25,Facebook,Facebook/Meta,Hacker Way  Menlo Park  California 94025,Business/Group/Organization,8.7100,Novotny  Reid J. Elect,Media,Online Advertising,,Debit Card,,Electoral,,
2021-11-24,Facebook,Facebook/Meta,Hacker Way  Menlo Park  California 94025,Business/Group/Organization,21.2900,Novotny  Reid J. Elect,Media,Online Advertising,,Debit Card,,Electoral,,
2021-03-02,Google,Google,1600 Amphitheatre Parkway  Mountain View  California 94043,Business/Group/Organization,12.0000,Novotny  Reid J. Elect,Media,Online Advertising,,Debit Card,,Electoral,,
2021-02-02,Google,Google,1600 Amphitheatre Parkway  Mountain View  California 94043,Business/Group/Organization,6.0000,Novotny  Reid J. Elect,Media,Online Advertising,,Debit Card,,Electoral,,
2021-02-02,Google,Google,1600 Amphitheatre Parkway  Mountain View  California 94043,Business/Group/Organization,9.0900,Novotny  Reid J. Elect,Media,Online Advertising,,Debit Card,,Electoral,,
2021-10-29,Echelon Insights,Echelon Insights,121 N. Washington St  Ste 320  Alexandria  Virginia 22314,Business/Group/Organization,2500.0000,Haire  Jessica Friends of,Media,Survey/Polls,,Check,,Electoral,,
2021-12-31,Bonjoro,Bonjoro,54 Chandos St  St Leonards  AUSTRALIA,Business/Group/Organization,121.7600,Novotny  Reid J. Elect,Media,Online Advertising,,Debit Card,,Electoral,,
2021-07-12,The Tarrance Group,The Tarrance Group,201 N Union St # 410  Alexandria  Virginia 22314,Business/Group/Organization,13000.0000,Haire  Jessica Friends of,Media,Survey/Polls,,Check,,Electoral,,
2021-06-07,McShane,McShane LLC,7975 W. Badura Ave #1000  Las Vegas  Nevada 89113,Business/Group/Organization,1760.7600,Haire  Jessica Friends of,Media,Online Advertising,,EFT,,Electoral,,
2021-06-07,McShane,McShane LLC,7975 W. Badura Ave #1000  Las Vegas  Nevada 89113,Business/Group/Organization,36500.0000,Haire  Jessica Friends of,Media,Online Advertising,,EFT,,Electoral,,
2021-06-17,McShane,McShane LLC,7975 W. Badura Ave #1000  Las Vegas  Nevada 89113,Business/Group/Organization,2000.0000,Haire  Jessica Friends of,Media,Online Advertising,,EFT,,Electoral,,
2021-08-09,McShane,McShane LLC,7975 W. Badura Ave #1000  Las Vegas  Nevada 89113,Business/Group/Organization,30000.0000,Haire  Jessica Friends of,Media,Online Advertising,,EFT,,Electoral,,
2021-08-23,McShane,McShane LLC,7975 W. Badura Ave #1000  Las Vegas  Nevada 89113,Business/Group/Organization,1600.0000,Haire  Jessica Friends of,Media,Online Advertising,,EFT,,Electoral,,
2021-10-04,McShane,McShane LLC,7975 W. Badura Ave #1000  Las Vegas  Nevada 89113,Business/Group/Organization,5000.0000,Haire  Jessica Friends of,Media,Online Advertising,,EFT,,Electoral,,
2021-11-02,McShane,McShane LLC,7975 W. Badura Ave #1000  Las Vegas  Nevada 89113,Business/Group/Organization,5000.0000,Haire  Jessica Friends of,Media,Online Advertising,,EFT,,Electoral,,
2021-10-18,Strategic Partners & Media,Strategic Partners & Media,1851A Mcguckian St.  Annapolis  Maryland 21401,Business/Group/Organization,66525.0000,Haire  Jessica Friends of,Media,TV,,EFT,,Electoral,,
2021-11-23,Strategic Partners & Media,Strategic Partners & Media,1851A Mcguckian St.  Annapolis  Maryland 21401,Business/Group/Organization,7515.0000,Haire  Jessica Friends of,Media,TV,,EFT,,Electoral,,
2021-12-13,Strategic Partners & Media,Strategic Partners & Media,1851A Mcguckian St.  Annapolis  Maryland 21401,Business/Group/Organization,28450.0000,Haire  Jessica Friends of,Media,TV,,EFT,,Electoral,,
2021-12-30,Strategic Partners & Media,Strategic Partners & Media,1851A Mcguckian St.  Annapolis  Maryland 21401,Business/Group/Organization,32494.0000,Haire  Jessica Friends of,Media,TV,,EFT,,Electoral,,
2021-10-20,Canva,Canva,268 Devonshire Street  Surry Hills NSW 2010  AUSTRALIA,Business/Group/Organization,12.9900,Bonner  Jeff For Maryland,Media,Graphic Design,,Debit Card,,Electoral,,
2021-11-22,Canva,Canva,268 Devonshire Street  Surry Hills NSW 2010  AUSTRALIA,Business/Group/Organization,12.9900,Bonner  Jeff For Maryland,Media,Graphic Design,,Debit Card,,Electoral,,
2021-11-22,Facebook,Facebook/Meta,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,10.0000,Bonner  Jeff For Maryland,Media,Online Advertising,,Debit Card,,Electoral,,
2021-11-22,Facebook,Facebook/Meta,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,10.0000,Bonner  Jeff For Maryland,Media,Online Advertising,,Debit Card,,Electoral,,
2021-11-23,Facebook,Facebook/Meta,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,10.0000,Bonner  Jeff For Maryland,Media,Online Advertising,,Debit Card,,Electoral,,
2021-12-06,Facebook,Facebook/Meta,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,5.0000,Bonner  Jeff For Maryland,Media,Online Advertising,,Debit Card,,Electoral,,
2021-12-20,Canva,Canva,268 Devonshire Street  Surry Hills NSW 2010  AUSTRALIA,Business/Group/Organization,12.9900,Bonner  Jeff For Maryland,Media,Graphic Design,,Debit Card,,Electoral,,
2021-02-08,GoDaddy,GoDaddy,TBD  Scottsdale  Arizona 85054,Business/Group/Organization,179.8800,Braveboy  Aisha Friends Of,Media,Media - Website Development,,EFT,,Electoral,,
2021-08-09,Streetz Media,Streetz Media,418 10th St SE  Washington  District Of Columbia 20003,Business/Group/Organization,1200.0000,Braveboy  Aisha Friends Of,Media,Online Advertising,,EFT,,Electoral,,
2022-07-14,WOLB-AM,WOLB-AM,1705 WHITEHEAD RD  BALTIMORE  Maryland 21207,Business/Group/Organization,600.0000,Leonard  Robbie Friends of,Media,Radio,,Check,,Electoral,,
2022-07-14,WOLB-AM,WOLB-AM,1705 WHITEHEAD RD  BALTIMORE  Maryland 21207,Business/Group/Organization,4400.0000,Leonard  Robbie Friends of,Media,Radio,,Check,,Electoral,,
2021-06-15,Facebook,Facebook/Meta,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,25.0000,Rathell  Doug (Jeffrey) Elect,Media,Online Advertising,,Credit Card/Visa,,Electoral,,
2021-06-17,Facebook,Facebook/Meta,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,25.0000,Rathell  Doug (Jeffrey) Elect,Media,Online Advertising,,Credit Card/Visa,,Electoral,,
2021-05-27,Godaddy,GoDaddy,14455 N. Hayden Rd  #219  Scottsdale  Arizona 85260,Business/Group/Organization,133.3400,Rathell  Doug (Jeffrey) Elect,Media,Media - Website Development,,Credit Card/Visa,,Electoral,,
2021-07-01,Facebook,Facebook/Meta,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,24.9800,Rathell  Doug (Jeffrey) Elect,Media,Online Advertising,,Credit Card/Visa,,Electoral,,
2022-03-23,Leisure World of Maryland,Leisure World of Maryland,3701 Rossmoor Blvd  Silver Spring  Maryland 20906,Business/Group/Organization,700.0000,Mink  Kristin Friends of,Media,Newspaper,,Debit Card,,Electoral,,
2022-03-28,Facebook,Facebook/Meta,1 Facebook Way  Menlo Park  California 94025,Business/Group/Organization,10.0000,Balcombe  Marilyn Friends,Media,Online Advertising,,Debit Card,,Electoral,,
2022-04-01,Facebook,Facebook/Meta,1 Facebook Way  Menlo Park  California 94025,Business/Group/Organization,83.3600,Balcombe  Marilyn Friends,Media,Online Advertising,,Debit Card,,Electoral,,
2022-04-05,Facebook,Facebook/Meta,1 Facebook Way  Menlo Park  California 94025,Business/Group/Organization,10.0000,Balcombe  Marilyn Friends,Media,Online Advertising,,Debit Card,,Electoral,,
2022-04-13,Facebook,Facebook/Meta,1 Facebook Way  Menlo Park  California 94025,Business/Group/Organization,10.0000,Balcombe  Marilyn Friends,Media,Online Advertising,,Debit Card,,Electoral,,
2022-04-18,Facebook,Facebook/Meta,1 Facebook Way  Menlo Park  California 94025,Business/Group/Organization,15.0000,Balcombe  Marilyn Friends,Media,Online Advertising,,Debit Card,,Electoral,,
2022-11-07,Connoisseur Media,Connoisseur Media,5966 Grove Hill Rd  Frederick  Maryland 21703,Business/Group/Organization,2464.0000,Cox  Dan for Governor,Media,Radio,,Debit Card,,Electoral,,
2021-02-12,NationBuilder,NationBuilder,448 S. Hill St. #200  Los Angeles  California 90013,Business/Group/Organization,59.0000,Morales  Maricé Friends of,Media,Media - Website Development,,Credit Card/MasterCard,,Electoral,,
2022-07-19,Person 2 Person,Person 2 Person,2800 S Shirlington Rd  9th Floor  Arlington  Virginia 22206,Business/Group/Organization,716.4800,A New Dawn for BOE,Media,Phones / Robo calls,,Check,,Electoral,Text blast,
2022-08-05,Bellino Photography,Bellino Photography,PO Box 1  La Plata  Maryland 20646,Business/Group/Organization,400.0000,Patterson II  Ralph E. Campaign to Elect,Media,Videos,,Credit Card/Visa,,Electoral,,
2021-12-01,Mentzer Media,Mentzer Media,210 W Pennsylvania Ave  Towson  Maryland 21204,Business/Group/Organization,27398.8000,Haire  Jessica Friends of,Media,TV,,EFT,,Electoral,,
2021-03-21,Rice Consulting,Rice Consulting LLC,17 W. Courtland Street  Suite 210  Bel Air  Maryland 21014,Business/Group/Organization,400.0000,Dumais  Kathleen M. Friends Of,Media,Media - Website Development,,Check,,Electoral,Website domain and hosting fees,
2021-04-14,GoDaddy,GoDaddy,14455 N Hayden Rd Ste 226  Scottsdale  Arizona 85260,Business/Group/Organization,21.1900,Hosey  Jennifer Friends of,Media,Media - Website Development,,,,Electoral,,
2021-01-14,GoDaddy,GoDaddy,14455 N Hayden Rd Ste 226  Scottsdale  Arizona 85260,Business/Group/Organization,21.1900,Hosey  Jennifer Friends of,Media,Media - Website Development,,,,Electoral,,
2021-08-26,Mid Atlantic Media,Mid-Atlantic Media,11459 Cronhill Drive  Owings Mills  Maryland 21117,Business/Group/Organization,4700.0000,Franchot  Peter Friends Of,Media,Newspaper,,Debit Card,,Electoral,,
2021-11-17,NATALIE CARROLL  ZIEGLER,NATALIE CARROLL  ZIEGLER,4044 MANOR LN  Ellicott City  Maryland 21042,Self (Candidate),85.5800,Ziegler  Natalie Friends of,Media,Online Advertising,,Credit Card/Visa,GoDaddy,Electoral,Domain Registration and Hosting,
2021-11-29,RAK Advertising,RAK Advertising,PO Box 941  Reisterstown  Maryland 21136,Business/Group/Organization,200.0000,Barnes  Heath Friends of,Media,Book/Brochure Advertising,,Check,,Electoral,,
2021-05-04,Mailchimp,MailChimp,675 Ponce de Leon Ave NE  Unit 5000  Atlanta  Georgia 30308,Business/Group/Organization,50.5500,Frank  Corine Friends of,Media,Online Advertising,,Credit Card/Visa,,Electoral,,
2021-06-04,Mailchimp,MailChimp,675 Ponce de Leon Ave NE  Unit 5000  Atlanta  Georgia 30308,Business/Group/Organization,50.5500,Frank  Corine Friends of,Media,Online Advertising,,Credit Card/Visa,,Electoral,,
2021-07-04,Mailchimp,MailChimp,675 Ponce de Leon Ave NE  Unit 5000  Atlanta  Georgia 30308,Business/Group/Organization,50.5500,Frank  Corine Friends of,Media,Online Advertising,,Credit Card/Visa,,Electoral,,
2021-08-04,Mailchimp,MailChimp,675 Ponce de Leon Ave NE  Unit 5000  Atlanta  Georgia 30308,Business/Group/Organization,50.5500,Frank  Corine Friends of,Media,Online Advertising,,Credit Card/Visa,,Electoral,,
2021-09-04,Mailchimp,MailChimp,675 Ponce de Leon Ave NE  Unit 5000  Atlanta  Georgia 30308,Business/Group/Organization,50.5500,Frank  Corine Friends of,Media,Online Advertising,,Credit Card/Visa,,Electoral,,
2021-10-04,Mailchimp,MailChimp,675 Ponce de Leon Ave NE  Unit 5000  Atlanta  Georgia 30308,Business/Group/Organization,50.5500,Frank  Corine Friends of,Media,Online Advertising,,Credit Card/Visa,,Electoral,,
2021-11-04,Mailchimp,MailChimp,675 Ponce de Leon Ave NE  Unit 5000  Atlanta  Georgia 30308,Business/Group/Organization,50.5500,Frank  Corine Friends of,Media,Online Advertising,,Credit Card/Visa,,Electoral,,
2021-12-04,Mailchimp,MailChimp,675 Ponce de Leon Ave NE  Unit 5000  Atlanta  Georgia 30308,Business/Group/Organization,50.5500,Frank  Corine Friends of,Media,Online Advertising,,Credit Card/Visa,,Electoral,,
2022-01-04,Mailchimp,MailChimp,675 Ponce de Leon Ave NE  Unit 5000  Atlanta  Georgia 30308,Business/Group/Organization,50.5500,Frank  Corine Friends of,Media,Online Advertising,,Credit Card/Visa,,Electoral,,
2021-10-19,Elementor,Elementor,Tuval Street 40  Ramat Gan  ISRAEL,Business/Group/Organization,49.0000,Nice  Frank Citizens For,Media,Online Advertising,,Debit Card,,Electoral,,
2021-10-05,Open Door Media Solutions,Open Door Media Solutions,1741 Chase Pointe Cir  Virginia Beach  Virginia 23454,Business/Group/Organization,309.0000,Nice  Frank Citizens For,Media,Online Advertising,,Debit Card,,Electoral,,
2021-10-01,Open Door Media Solutions,Open Door Media Solutions,1741 Chase Pointe Cir  Virginia Beach  Virginia 23454,Business/Group/Organization,665.6300,Nice  Frank Citizens For,Media,Online Advertising,,Debit Card,,Electoral,,
2021-10-12,Open Door Media Solutions,Open Door Media Solutions,1741 Chase Pointe Cir  Virginia Beach  Virginia 23454,Business/Group/Organization,353.4300,Nice  Frank Citizens For,Media,Online Advertising,,Debit Card,,Electoral,,
2021-10-15,Open Door Media Solutions,Open Door Media Solutions,1741 Chase Pointe Cir  Virginia Beach  Virginia 23454,Business/Group/Organization,481.5300,Nice  Frank Citizens For,Media,Online Advertising,,Debit Card,,Electoral,,
2021-10-15,Open Door Media Solutions,Open Door Media Solutions,1741 Chase Pointe Cir  Virginia Beach  Virginia 23454,Business/Group/Organization,91.6700,Nice  Frank Citizens For,Media,Online Advertising,,Debit Card,,Electoral,,
2021-11-01,Open Door Media Solutions,Open Door Media Solutions,1741 Chase Pointe Cir  Virginia Beach  Virginia 23454,Business/Group/Organization,309.0000,Nice  Frank Citizens For,Media,Online Advertising,,Debit Card,,Electoral,,
2021-11-03,Open Door Media Solutions,Open Door Media Solutions,1741 Chase Pointe Cir  Virginia Beach  Virginia 23454,Business/Group/Organization,460.2900,Nice  Frank Citizens For,Media,Online Advertising,,Debit Card,,Electoral,,
2021-11-03,Open Door Media Solutions,Open Door Media Solutions,1741 Chase Pointe Cir  Virginia Beach  Virginia 23454,Business/Group/Organization,403.6400,Nice  Frank Citizens For,Media,Online Advertising,,Debit Card,,Electoral,,
2021-02-01,Apple,Apple,1 Infinite Loop  Cupertino  California 95014,Business/Group/Organization,2.9900,Carozza  Mary Beth Friends of,Media,Online Advertising,,EFT,,Electoral,,
2021-02-03,Google.com,Google.com,111 8th Ave.  New York  New York 10011,Business/Group/Organization,6.0000,Carozza  Mary Beth Friends of,Media,Online Advertising,,EFT,,Electoral,,
2021-02-03,Independent News Media,Independent News Media,P.O. Box 1385  Salisbury  Maryland 21802,Business/Group/Organization,26.0000,Carozza  Mary Beth Friends of,Media,Newspaper,,EFT,,Electoral,,
2021-02-08,Apple,Apple,1 Infinite Loop  Cupertino  California 95014,Business/Group/Organization,0.9900,Carozza  Mary Beth Friends of,Media,Online Advertising,,EFT,,Electoral,,
2021-02-08,Dropbox,Dropbox,185 Berry St.  STE 400  San Francisco  California 94107,Business/Group/Organization,11.9900,Carozza  Mary Beth Friends of,Media,Online Advertising,,EFT,,Electoral,,
2021-03-01,Apple,Apple,1 Infinite Loop  Cupertino  California 95014,Business/Group/Organization,2.9900,Carozza  Mary Beth Friends of,Media,Online Advertising,,EFT,,Electoral,,
2021-03-03,Google.com,Google.com,111 8th Ave.  New York  New York 10011,Business/Group/Organization,6.0000,Carozza  Mary Beth Friends of,Media,Online Advertising,,EFT,,Electoral,,
2021-03-08,Apple,Apple,1 Infinite Loop  Cupertino  California 95014,Business/Group/Organization,0.9900,Carozza  Mary Beth Friends of,Media,Online Advertising,,EFT,,Electoral,,
2021-03-31,Apple,Apple,1 Infinite Loop  Cupertino  California 95014,Business/Group/Organization,2.9900,Carozza  Mary Beth Friends of,Media,Online Advertising,,EFT,,Electoral,,
2021-04-05,Google.com,Google.com,111 8th Ave.  New York  New York 10011,Business/Group/Organization,6.0000,Carozza  Mary Beth Friends of,Media,Online Advertising,,EFT,,Electoral,,
2021-04-06,Apple,Apple,1 Infinite Loop  Cupertino  California 95014,Business/Group/Organization,0.9900,Carozza  Mary Beth Friends of,Media,Online Advertising,,EFT,,Electoral,,
2021-04-08,Dropbox,Dropbox,185 Berry St.  STE 400  San Francisco  California 94107,Business/Group/Organization,11.9900,Carozza  Mary Beth Friends of,Media,Online Advertising,,EFT,,Electoral,,
2021-04-08,Ocean Pines Chamber of Commerce,Ocean Pines Chamber of Commerce,11031 Cathell Rd  Berlin  Maryland 21811,Business/Group/Organization,230.0000,Carozza  Mary Beth Friends of,Media,Book/Brochure Advertising,,Check,,Electoral,,
2021-07-30,Apple,Apple,1 Infinite Loop  Cupertino  California 95014,Business/Group/Organization,2.9900,Carozza  Mary Beth Friends of,Media,Online Advertising,,EFT,,Electoral,,
2021-08-02,Google.com,Google.com,111 8th Ave.  New York  New York 10011,Business/Group/Organization,6.3600,Carozza  Mary Beth Friends of,Media,Online Advertising,,EFT,,Electoral,,
2021-08-26,Independent News Media,Independent News Media,P.O. Box 1385  Salisbury  Maryland 21802,Business/Group/Organization,27.5600,Carozza  Mary Beth Friends of,Media,Newspaper,,EFT,,Electoral,,
2021-08-06,AGH Foundation,AGH Foundation,10320 Old Ocean City Blvd.  Berlin  Maryland 21811,Business/Group/Organization,150.0000,Carozza  Mary Beth Friends of,Media,Book/Brochure Advertising,,Check,,Electoral,,
2021-08-17,Fruitland Lion's Club,Fruitland Lion's Club,1704 Mount Hermon Rd  Salisbury  Maryland 21804,Business/Group/Organization,50.0000,Carozza  Mary Beth Friends of,Media,Billboards / Outdoor Advertising,,Check,,Electoral,,
2021-08-06,Worcester County Veterans Memorial Foundation,Worcester County Veterans Memorial Foundation,PO Box 1576  Ocean Pines  Maryland 21811,Business/Group/Organization,100.0000,Carozza  Mary Beth Friends of,Media,Billboards / Outdoor Advertising,,Check,,Electoral,,
2021-09-15,Maryland Federation of Republican Women,Maryland Federation of Republican Women,P.O. Box 6040  Annapolis  Maryland 21401,Business/Group/Organization,515.3800,Carozza  Mary Beth Friends of,Media,Book/Brochure Advertising,,Debit Card,,Electoral,,
2022-04-27,Facebook,Facebook/Meta,1601 Willow Rd  Menlo Park  California 94025,Business/Group/Organization,3.7400,Stewart  Kate Vote,Media,Online Advertising,,Debit Card,,Electoral,,
2021-07-28,Stephen Michael Thompson,Stephen Michael Thompson,103 S Wood Ave. Unit 436  Linden  New Jersey 07036,Individual,650.0000,Long  Jeffrie Friends of,Media,Media - Website Development,,Credit Card/Visa,,Electoral,,
2021-09-16,Eric Dow,Eric Dow,10601 N Keys Rd  Brandywine  Maryland 20613,Individual,300.0000,Long  Jeffrie Friends of,Media,Videos,,Check,,Electoral,,
2021-10-06,Google,Google,1600 Amphitheatre Parkway  Mountain View  California 94043,Business/Group/Organization,18.4400,Long  Jeffrie Friends of,Media,Media - Website Development,,EFT,,Electoral,Website monthly hosting fee,
2021-11-08,Google,Google,1600 Ampitheatre  Mountain View  California 94043,Business/Group/Organization,19.0800,Long  Jeffrie Friends of,Media,Media - Website Development,,EFT,,Electoral,Monthly website hosting fee,
2021-11-12,Stephen Michael Thompson,Stephen Michael Thompson,103 Wood Ave  Linden  New Jersey 07036,Individual,280.0000,Long  Jeffrie Friends of,Media,Graphic Design,,EFT,,Electoral,,
2021-12-07,Google,Google,1600 Amphitheatre Parkway  Mountain View  California 94043,Business/Group/Organization,19.0800,Long  Jeffrie Friends of,Media,Media - Website Development,,EFT,,Electoral,Monthly website hosting fee,
2021-12-30,Facebook,Facebook/Meta,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,131.6000,Long  Jeffrie Friends of,Media,Online Advertising,,Debit Card,,Electoral,,
2022-01-05,Google,Google,1600 Amphitheatre Parkway  Mountain View  California 94043,Business/Group/Organization,19.0800,Long  Jeffrie Friends of,Media,Media - Website Development,,EFT,,Electoral,,
2021-07-06,Google Service Apps,Google Service Apps,1600 Amphitheatre Pkwy  Mountain View  California 94043,Business/Group/Organization,31.8000,Hester  Katie (Kathryn) Fry Friends of,Media,Media - Website Development,,EFT,,Electoral,,
2021-09-29,Propr Design,Propr Design,4717 Harford Road  Ste 2  Baltimore  Maryland 21214,Business/Group/Organization,2500.0000,Baker  Rushern III Friends Of-Comm For Pol Change (CPC),Media,Media - Website Development,,EFT,,Electoral,,
2021-10-01,Fells Cobble,Fells Cobble,522 South Bond St.  Baltimore  Maryland 21231,Business/Group/Organization,4274.0400,Edelson  Mark Friends of,Media,Videos,,EFT,,Electoral,,
2021-11-03,Fells Cobble,Fells Cobble,522 South Bond St.  Baltimore  Maryland 21231,Business/Group/Organization,1310.5000,Edelson  Mark Friends of,Media,Videos,,EFT,,Electoral,,
2021-06-21,APG Media of chesapeake  LLC,APG Media of Chesapeake  LLC,29088 Airpark Drive  Easton  Maryland 21601,Business/Group/Organization,285.0000,Metzgar  Ric Sr. Friends Of,Media,Newspaper,,Debit Card,,Electoral,Newspaper Ad,
2022-04-27,GoDaddy,GoDaddy,14455 N. Hayden Rd  #219  Scottsdale  Arizona 85260,Business/Group/Organization,18.0100,James  Keenon Friends of,Media,Media - Website Development,,Debit Card,,Electoral,,
2022-05-27,GoDaddy,GoDaddy,14455 N. Hayden Rd  #219  Scottsdale  Arizona 85260,Business/Group/Organization,18.0100,James  Keenon Friends of,Media,Media - Website Development,,Debit Card,,Electoral,,
2021-10-22,Namecheap,Namecheap,11400 West Olympic Boulevard  Suite 200  Los Angeles  California 90064,Business/Group/Organization,7.7600,Acevero  Gabriel Friends of,Media,Media - Website Development,,Debit Card,,Electoral,,
2021-10-04,Namecheap,Namecheap,11400 West Olympic Boulevard  Suite 200  Los Angeles  California 90064,Business/Group/Organization,11.8800,Acevero  Gabriel Friends of,Media,Media - Website Development,,Debit Card,,Electoral,,
2021-09-07,Namecheap,Namecheap,11400 West Olympic Boulevard  Suite 200  Los Angeles  California 90064,Business/Group/Organization,11.8800,Acevero  Gabriel Friends of,Media,Media - Website Development,,Debit Card,,Electoral,,
2021-08-04,Namecheap,Namecheap,11400 West Olympic Boulevard  Suite 200  Los Angeles  California 90064,Business/Group/Organization,11.8800,Acevero  Gabriel Friends of,Media,Media - Website Development,,Debit Card,,Electoral,,
